EnglishEnglish Name;FrenchFrench Name;Local Name;Region
Afghanistan;Afghanistan;Afghanestan;South-Central Asia
Albania;Albanie;Shqiperia;Southern Europe
Algeria;AlgÇrie;Al Jaza'ir;Northern Africa
American Samoa;Samoa AmÇricaines;American Samoa;Polynesia, Oceania
Andorra;Andorre;Andorra;Southern Europe
Angola;Angola;Angola;Central Africa
Anguilla;Anguilla;Anguilla;Leeward Islands, Caribbean
Antarctica;Antarctique;Antarctica;Antarctica
Antigua and Barbuda;Antigua-et-Barbuda;Antigua and Barbuda;Leeward Islands, Caribbean
Argentina;Argentine;Argentina;Southern South America
Armenia;ArmÇnie;Hayastan;Western Asia
Aruba;Aruba;Aruba;Leeward Islands, Caribbean
Australia;Australie;Australia;Australia
Austria;Autriche;ôsterreich;Western Europe
Azerbaijan;Azerbaãdjan;Azarbaycan;Caucasus, Western Asia
Bahamas;Bahamas;Bahamas;Caribbean
Bahrain;Bahreãn;Al Bahrayn;Arabian Peninsula, Middle East
Bangladesh;Bangladesh;Bangladesh;South-Central Asia
Barbados;Barbade;Barbados;Lesser Antilles, Caribbean
Belarus;BÇlarus;Byelarus;Eastern Europe
Belgium;Belgique;Belgique/Belgie;Western Europe
Belize;Belize;Belize;Central America
Benin;BÇnin;Benin;West Africa
Bermuda;Bermudes;Bermuda;North America
Bhutan;Bhoutan;Bhutan;South-Central Asia
Bolivia;Bolivie;Bolivia;Central South America
Bosnia and Herzegovina;Bosnie-HerzÇgovine;Bosna i Hercegovina;Southern Europe
Botswana;Botswana;Botswana;Southern Africa
Brazil;BrÇsil;Brasil;Central Eastern South America
Brunei Darussalam;BrunÇi Darussalam;Negara Brunei Darussalam;Southeast Asia
Bulgaria;Bulgarie;Bulgaria;Eastern Europe
Burkina Faso;Burkina Faso;Burkina Faso;West Africa
Burundi;Burundi;Burundi;Eastern Africa, African Great Lakes
Cambodia;Cambodge;Kampuchea;South-East Asia
Cameroon;Cameroun;Cameroon;Central Africa
Canada;Canada;Canada;North North America
Cape Verde;Cap-Vert;Cabo Verde;West Africa
Cayman Islands;Caãmanes, ◊les;Cayman Islands;Greater Antilles, Caribbean
Central African Republic;Centrafricaine, RÇpublique;Republique Centrafricaine;Central Africa
Chad;Tchad;Tchad;Central Africa
Chile;Chili;Chile;Western South America
China;Chine;Zhong Guo;Eastern Asia
Christmas Island;◊le Christmas;Christmas Island;Southeast Asia
Cocos (Keeling) Islands;◊les Cocos (Keeling);Cocos (Keeling) Islands;South-East Asia, Australia
Colombia;Colombie;Colombia;North West South America
Comoros;Comores;Comores;Eastern Africa
Democratic Republic of the Congo (Kinshasa);Congo, La RÇpublique DÇmocratique du;RÇpublique DÇmocratique du Congo;Central Africa
Congo, Republic of (Brazzaville);RÇpublique du Congo;RÇpublique du Congo;Central Africa
Cook Islands;◊les Cook;Cook Islands;Polynesia, Oceania
Costa Rica;Costa Rica;Costa Rica;Central America
Ivory Coast;Cìte D'ivoire;Cote d'Ivoire;West Africa
Croatia;Croatie;Hrvatska;Southern Europe
Cuba;Cuba;Cuba;Greater Antilles, Caribbean
Cyprus;Chypre;Kibris, Kypros;Mediterranean, Western Asia
Czech Republic;RÇpublique Tchäque;Ceska Republika;Eastern Europe
Denmark;Danemark;Danmark;Northern Europe
Djibouti;Djibouti;Djibouti;Eastern Africa
Dominica;Dominique;Dominica;Lesser Antilles, Caribbean
Dominican Republic;Dominicaine, RÇpublique;Dominicana, Republica;Greater Antilles, Caribbean
Ecuador;êquateur;Ecuador;North West South America
Egypt;êgypte;Misr;Africa, Middle East
El Salvador;El Salvador;El Salvador;Central America
Equatorial Guinea;GuinÇe êquatoriale;Guinea Ecuatorial;Central Africa
Eritrea;êrythrÇe;Hagere Ertra;Eastern Africa
